translation
"{'cy': 'Iaith fyw: ', 'en': 'A living language:'}"
"{'cy': 'iaith byw', 'en': 'a language for living'}"
"{'cy': 'Strategaeth y Gym raeg 2012-17', 'en': 'Welsh Language Strategy 2012-17'}"
"{'cy': 'Iaith fyw: ', 'en': 'A living language: '}"
"{'cy': 'iaith byw', 'en': 'a language for living'}"
"{'cy': 'Strategaeth y Gymraeg 2012–17', 'en': 'Welsh Language Strategy 2012–17'}"
"{'cy': 'CynulleidfaAdrannau Llywodraeth Cymru; ', 'en': 'AudienceWelsh Government departments; '}"
"{'cy': 'cyrff cyhoeddus yng Nghymru; ', 'en': 'public bodies in Wales; '}"
"{'cy': 'cyrff y trydydd sector yng Nghymru; ', 'en': 'third sector bodies in Wales; '}"
"{'cy': 'cwmnïau y sector preifat yng Nghymru; ', 'en': 'private sector companies in Wales; '}"
"{'cy': 'sefydliadau addysgol yng Nghymru; ', 'en': 'educational organisations in Wales; '}"
"{'cy': 'sefydliadau sy’n gweithio i hybu’r defnydd o’r Gymraeg; ', 'en': 'organisations working to promote the use of Welsh; '}"
"{'cy': 'sefydliadau sy’n gweithio gyda theuluoedd, plant a phobl ifanc, a chymunedau; ', 'en': 'organisations working with families, children and young people and communities; '}"
"{'cy': 'a phartïon eraill â diddordeb.', 'en': 'and other interested parties.'}"
"{'cy': 'TrosolwgDeddf Llywodraeth Cymru 2006: ', 'en': 'OverviewThe Government of Wales Act 2006: '}"
"{'cy': 'Dyma strategaeth Gweinidogion Cymru ar gyfer hybu a hwyluso’r defnydd o’r Gymraeg. ', 'en': 'This is the Welsh Ministers’ strategy for the promotion and facilitation of the use of the Welsh language. '}"
"{'cy': 'Fe’i paratowyd yn unol ag Adran 78 o Ddeddf Llywodraeth Cymru 2006. ', 'en': 'It has been prepared in accordance with Section 78 of the Government of Wales Act 2006. '}"
"{'cy': 'Mae’r strategaeth hon yn disodli Iaith Pawb: ', 'en': 'This strategy supersedes Iaith Pawb: '}"
"{'cy': 'Cynllun Gweithredu Cenedlaethol ar gyfer Cymru Ddwyieithog (Llywodraeth Cynulliad Cymru, 2003). ', 'en': 'A National Action Plan for a Bilingual Wales (Welsh Assembly Government, 2003). '}"
"{'cy': 'Nid yw Iaith Pawb bellach yn weithredol.', 'en': 'Iaith Pawb is no longer being implemented.'}"
"{'cy': 'Oes y strategaeth: ', 'en': 'Lifespan of the strategy: '}"
"{'cy': 'Mae hon yn strategaeth ar gyfer cyfnod o bum mlynedd, o 1 Ebrill 2012 hyd 31 Mawrth 2017. ', 'en': 'This is a strategy covering a period of five years, from 1 April 2012 to 31 March 2017. '}"
"{'cy': 'Bydd Gweinidogion Cymru yn cyhoeddi cynllun gweithredu blynyddol yn unol ag Adran 78 o Ddeddf Llywodraeth Cymru 2006 a fydd yn esbonio sut y byddant yn gweithredu’r cynigion a amlinellir yn y strategaeth hon yn ystod pob blwyddyn ariannol.', 'en': 'The Welsh Ministers will publish an annual action plan in accordance with Section 78 of the Government of Wales Act 2006 which will explain how they will implement the proposals outlined in this strategy during each financial year.'}"
"{'cy': 'Rhagor oDylid cyfeirio unrhyw ymholiadau am y ddogfen hon at:', 'en': 'FurtherEnquiries about this document should be directed to:'}"
"{'cy': 'wybodaeth Uned y Gymraeg', 'en': 'information Welsh Language Unit'}"
"{'cy': 'Yr Adran Addysg a Sgiliau', 'en': 'Department for Education and Skills'}"
"{'cy': 'Llywodraeth Cymru', 'en': 'Welsh Government'}"
"{'cy': 'Parc Cathays', 'en': 'Cathays Park'}"
"{'cy': 'Caerdydd', 'en': 'Cardiff'}"
"{'cy': 'CF10 3NQ', 'en': 'CF10 3NQ'}"
"{'cy': 'Ffôn: ', 'en': 'Tel: '}"
"{'cy': '029 2080 1307', 'en': '029 2080 1307'}"
"{'cy': 'e-bost: ', 'en': 'e-mail:'}"
"{'cy': 'StrategaethIaith@cymru.gsi.gov.uk', 'en': ' WelshLanguageStrategy@wales.gsi.gov.uk '}"
"{'cy': 'CopïauAr gael drwy gysylltu:', 'en': 'AdditionalCan be obtained from:'}"
"{'cy': 'ychwanegol Ffôn: ', 'en': 'copiesTel: '}"
"{'cy': '0870 242 3206 (cyfrwng Cymraeg)', 'en': '0870 242 3206 (Welsh medium) '}"
"{'cy': '0845 603 1108 (cyfrwng Saesneg)', 'en': '0845 603 1108 (English medium) '}"
"{'cy': 'Ffacs: ', 'en': 'Fax: '}"
"{'cy': '01767 375920', 'en': '01767 375920'}"
"{'cy': 'e-bost: ', 'en': 'e-mail:'}"
"{'cy': 'DfESWales1@prolog.co.uk', 'en': ' DfESWales1@prolog.co.uk '}"
"{'cy': 'Neu drwy ymweld â gwefan Llywodraeth Cymru yn www.cymru.gov.uk/ygymraeg', 'en': 'Or by visiting the Welsh Government’s website www.wales.gov.uk/welshlanguage'}"
"{'cy': 'DogfennauRhaglen Lywodraethu 2011–16 (Llywodraeth Cymru, 2011); ', 'en': 'RelatedProgramme for Government 2011–16 (Welsh Government, 2011);'}"
"{'cy': 'Mesurcysylltiedigy Gymraeg (Cymru) 2011; ', 'en': 'documentsWelsh Language (Wales) Measure 2011; '}"
"{'cy': 'Strategaeth Addysg Cyfrwng Cymraeg (Llywodraeth Cynulliad Cymru, 2010); ', 'en': 'Welsh-medium Education Strategy (Welsh Assembly Government, 2010); '}"
"{'cy': 'Adolygiad o’r Dystiolaeth mewn perthynas â’r Strategaeth ar gyfer y Gymraeg (Llywodraeth Cymru, 2012)', 'en': 'Welsh Language Strategy Evidence Review (Welsh Government, 2012)'}"
"{'cy': 'ISBN: ', 'en': 'ISBN: '}"
"{'cy': '978 0 7504 7014 8 Cyf: ', 'en': '978 0 7504 7014 8 Ref: '}"
"{'cy': 'CAD/GM/0212', 'en': 'CAD/GM/0212'}"
"{'cy': '© Hawlfraint y Goron Mawrth 2012 ', 'en': '© Crown copyright March 2012 '}"
"{'cy': 'WG14673', 'en': 'WG14673'}"
"{'cy': 'Cynnwys', 'en': 'Contents'}"
"{'cy': 'Cynnwys', 'en': 'Contents'}"
"{'cy': 'Rhagair y Gweinidog2', 'en': 'Ministerial foreword2'}"
"{'cy': 'Cyd-destun7', 'en': 'Context7'}"
"{'cy': 'Edrych yn ôl: ', 'en': 'Looking back: '}"
"{'cy': 'effaith gweithgareddau’r gorffennol11', 'en': 'the impact of past activities11'}"
"{'cy': 'Edrych tua’r dyfodol: ', 'en': 'Looking towards the future: '}"
"{'cy': 'strategaeth newydd14', 'en': 'a new strategy14'}"
"{'cy': 'Maes strategol 1: ', 'en': 'Strategic area 1: '}"
"{'cy': 'Y teulu25', 'en': 'The family25'}"
"{'cy': 'Maes strategol 2: ', 'en': 'Strategic area 2: '}"
"{'cy': 'Plant a phobl ifanc28', 'en': 'Children and young people28'}"
"{'cy': 'Maes strategol 3: ', 'en': 'Strategic area 3: '}"
"{'cy': 'Y gymuned33', 'en': 'The community33'}"
"{'cy': 'Maes strategol 4: ', 'en': 'Strategic area 4: '}"
"{'cy': 'Y gweithle37', 'en': 'The workplace37'}"
"{'cy': 'Maes strategol 5: ', 'en': 'Strategic area 5: '}"
"{'cy': 'Gwasanaethau Cymraeg40', 'en': 'Welsh-language services40'}"
"{'cy': 'Maes strategol 6: ', 'en': 'Strategic area 6: '}"
"{'cy': 'Y seilwaith45', 'en': 'Infrastructure45'}"
"{'cy': 'Rhagair y Gweinidog', 'en': 'Ministerial foreword'}"
"{'cy': 'Ro’n i wrth fy modd pan gefais i’r cyfrifoldeb am bortffolio’r Gymraeg gan y Prif Weinidog ym mis Mai 2011. ', 'en': 'I was delighted when the First Minister gave me responsibility for the Welsh language portfolio in May 2011. '}"
"{'cy': 'Fel dysgwr brwd, rwyf wedi ymddiddori’n fawr yn yr iaith ers fy nghyfnod fel myfyriwr ym Mangor yn y 1970au. ', 'en': 'As an active Welsh learner, my engagement with the language in a meaningful way goes back to my days as a student in Bangor in the 1970s. '}"
